,date,rank,song,artist,last-week,peak-rank,weeks-on-board
36579,2014-11-08,80,Booty,Jennifer Lopez Featuring Iggy Azalea Or Pitbull,85.0,18,6
36631,2014-11-01,32,Fireball,Pitbull Featuring John Ryan,34.0,30,11
36684,2014-11-01,85,Booty,Jennifer Lopez Featuring Iggy Azalea Or Pitbull,81.0,18,5
36733,2014-10-25,34,Fireball,Pitbull Featuring John Ryan,31.0,30,10
36780,2014-10-25,81,Booty,Jennifer Lopez Featuring Iggy Azalea Or Pitbull,71.0,18,4
36830,2014-10-18,31,Fireball,Pitbull Featuring John Ryan,30.0,30,9
36870,2014-10-18,71,Booty,Jennifer Lopez Featuring Iggy Azalea Or Pitbull,45.0,18,3
36929,2014-10-11,30,Fireball,Pitbull Featuring John Ryan,31.0,30,8
36944,2014-10-11,45,Booty,Jennifer Lopez Featuring Iggy Azalea Or Pitbull,18.0,18,2
37017,2014-10-04,18,Booty,Jennifer Lopez Featuring Iggy Azalea Or Pitbull,,18,1
37030,2014-10-04,31,Fireball,Pitbull Featuring John Ryan,46.0,31,7
37145,2014-09-27,46,Fireball,Pitbull Featuring John Ryan,54.0,46,6
37253,2014-09-20,54,Fireball,Pitbull Featuring John Ryan,63.0,54,5
37362,2014-09-13,63,Fireball,Pitbull Featuring John Ryan,68.0,63,4
37467,2014-09-06,68,Fireball,Pitbull Featuring John Ryan,88.0,68,3
37587,2014-08-30,88,Fireball,Pitbull Featuring John Ryan,93.0,88,2
37692,2014-08-23,93,Fireball,Pitbull Featuring John Ryan,,93,1
38148,2014-07-19,49,Timber,Pitbull Featuring Ke$ha,47.0,1,39
38197,2014-07-19,98,We Are One (Ole Ola) [The 2014 FIFA World Cup Official Song],Pitbull Featuring Jennifer Lopez & Claudia Leitte,90.0,59,6
38246,2014-07-12,47,Timber,Pitbull Featuring Ke$ha,42.0,1,38
38289,2014-07-12,90,We Are One (Ole Ola) [The 2014 FIFA World Cup Official Song],Pitbull Featuring Jennifer Lopez & Claudia Leitte,85.0,59,5
38298,2014-07-12,99,Wild Wild Love,Pitbull Featuring G.R.L.,93.0,30,18
38341,2014-07-05,42,Timber,Pitbull Featuring Ke$ha,38.0,1,37
38384,2014-07-05,85,We Are One (Ole Ola) [The 2014 FIFA World Cup Official Song],Pitbull Featuring Jennifer Lopez & Claudia Leitte,59.0,59,4
38392,2014-07-05,93,Wild Wild Love,Pitbull Featuring G.R.L.,78.0,30,17
38437,2014-06-28,38,Timber,Pitbull Featuring Ke$ha,33.0,1,36
38458,2014-06-28,59,We Are One (Ole Ola) [The 2014 FIFA World Cup Official Song],Pitbull Featuring Jennifer Lopez & Claudia Leitte,,59,3
38477,2014-06-28,78,Wild Wild Love,Pitbull Featuring G.R.L.,66.0,30,16
38532,2014-06-21,33,Timber,Pitbull Featuring Ke$ha,33.0,1,35
38565,2014-06-21,66,Wild Wild Love,Pitbull Featuring G.R.L.,45.0,30,15
38632,2014-06-14,33,Timber,Pitbull Featuring Ke$ha,35.0,1,34
38644,2014-06-14,45,Wild Wild Love,Pitbull Featuring G.R.L.,36.0,30,14
38673,2014-06-14,74,Mmm Yeah,Austin Mahone Featuring Pitbull,85.0,49,15
38734,2014-06-07,35,Timber,Pitbull Featuring Ke$ha,35.0,1,33
38735,2014-06-07,36,Wild Wild Love,Pitbull Featuring G.R.L.,34.0,30,13
38784,2014-06-07,85,Mmm Yeah,Austin Mahone Featuring Pitbull,66.0,49,14
38798,2014-06-07,99,We Are One (Ole Ola) [The 2014 FIFA World Cup Official Song],Pitbull Featuring Jennifer Lopez & Claudia Leitte,,88,2
38833,2014-05-31,34,Wild Wild Love,Pitbull Featuring G.R.L.,30.0,30,12
38834,2014-05-31,35,Timber,Pitbull Featuring Ke$ha,28.0,1,32
38865,2014-05-31,66,Mmm Yeah,Austin Mahone Featuring Pitbull,63.0,49,13
38927,2014-05-24,28,Timber,Pitbull Featuring Ke$ha,25.0,1,31
38929,2014-05-24,30,Wild Wild Love,Pitbull Featuring G.R.L.,30.0,30,11
38962,2014-05-24,63,Mmm Yeah,Austin Mahone Featuring Pitbull,50.0,49,12
39024,2014-05-17,25,Timber,Pitbull Featuring Ke$ha,21.0,1,30
39029,2014-05-17,30,Wild Wild Love,Pitbull Featuring G.R.L.,35.0,30,10
39049,2014-05-17,50,Mmm Yeah,Austin Mahone Featuring Pitbull,55.0,49,11
39120,2014-05-10,21,Timber,Pitbull Featuring Ke$ha,20.0,1,29
39134,2014-05-10,35,Wild Wild Love,Pitbull Featuring G.R.L.,43.0,35,9
39154,2014-05-10,55,Mmm Yeah,Austin Mahone Featuring Pitbull,49.0,49,10
